time,temperature_2m,shortwave_radiation,cloudcover
2025-01-14 17:00:00+00:00,6.0,0.0,100
2025-01-14 18:00:00+00:00,5.9,0.0,100
2025-01-14 19:00:00+00:00,6.2,0.0,100
2025-01-14 20:00:00+00:00,6.2,0.0,100
2025-01-14 21:00:00+00:00,6.3,0.0,98
2025-01-14 22:00:00+00:00,6.1,0.0,94
2025-01-14 23:00:00+00:00,5.9,0.0,88
2025-01-15 00:00:00+00:00,5.7,0.0,91
2025-01-15 01:00:00+00:00,6.0,0.0,64
2025-01-15 02:00:00+00:00,5.9,0.0,63
2025-01-15 03:00:00+00:00,5.7,0.0,39
2025-01-15 04:00:00+00:00,5.5,0.0,36
2025-01-15 05:00:00+00:00,5.4,0.0,23
2025-01-15 06:00:00+00:00,4.7,2.0,63
2025-01-15 07:00:00+00:00,6.2,78.0,88
2025-01-15 08:00:00+00:00,7.5,214.0,20
2025-01-15 09:00:00+00:00,8.9,340.0,9
2025-01-15 10:00:00+00:00,9.9,421.0,44
2025-01-15 11:00:00+00:00,10.4,416.0,81
2025-01-15 12:00:00+00:00,10.6,346.0,99
2025-01-15 13:00:00+00:00,10.2,222.0,100
2025-01-15 14:00:00+00:00,9.8,122.0,100
2025-01-15 15:00:00+00:00,9.0,47.0,100
2025-01-15 16:00:00+00:00,8.1,5.0,100
2025-01-15 17:00:00+00:00,7.8,0.0,100
2025-01-15 18:00:00+00:00,7.7,0.0,100
2025-01-15 19:00:00+00:00,7.6,0.0,100
2025-01-15 20:00:00+00:00,7.5,0.0,100
2025-01-15 21:00:00+00:00,7.4,0.0,100
2025-01-15 22:00:00+00:00,7.6,0.0,100
2025-01-15 23:00:00+00:00,7.7,0.0,100
2025-01-16 00:00:00+00:00,7.7,0.0,100
2025-01-16 01:00:00+00:00,7.4,0.0,100
2025-01-16 02:00:00+00:00,7.4,0.0,100
2025-01-16 03:00:00+00:00,7.6,0.0,100
2025-01-16 04:00:00+00:00,7.7,0.0,100
2025-01-16 05:00:00+00:00,7.8,0.0,100
2025-01-16 06:00:00+00:00,8.0,1.0,100
2025-01-16 07:00:00+00:00,8.4,18.0,100
2025-01-16 08:00:00+00:00,9.1,73.0,100
2025-01-16 09:00:00+00:00,9.6,114.0,100
2025-01-16 10:00:00+00:00,10.0,131.0,100
2025-01-16 11:00:00+00:00,10.3,150.0,99
2025-01-16 12:00:00+00:00,10.7,167.0,100
2025-01-16 13:00:00+00:00,10.3,75.0,100
2025-01-16 14:00:00+00:00,10.2,62.0,100
2025-01-16 15:00:00+00:00,9.8,33.0,100
2025-01-16 16:00:00+00:00,9.5,3.0,99
2025-01-16 17:00:00+00:00,9.2,0.0,61
2025-01-16 18:00:00+00:00,9.0,0.0,28
2025-01-16 19:00:00+00:00,8.4,0.0,28
2025-01-16 20:00:00+00:00,7.9,0.0,26
2025-01-16 21:00:00+00:00,7.3,0.0,46
2025-01-16 22:00:00+00:00,7.1,0.0,9
2025-01-16 23:00:00+00:00,6.3,0.0,21
2025-01-17 00:00:00+00:00,6.2,0.0,57
2025-01-17 01:00:00+00:00,7.3,0.0,73
2025-01-17 02:00:00+00:00,7.4,0.0,87
2025-01-17 03:00:00+00:00,7.5,0.0,80
2025-01-17 04:00:00+00:00,7.2,0.0,65
2025-01-17 05:00:00+00:00,7.0,0.0,47
2025-01-17 06:00:00+00:00,6.6,3.0,36
2025-01-17 07:00:00+00:00,7.8,77.0,48
2025-01-17 08:00:00+00:00,9.2,221.0,65
2025-01-17 09:00:00+00:00,10.2,310.0,60
2025-01-17 10:00:00+00:00,10.9,400.0,6
2025-01-17 11:00:00+00:00,11.5,482.0,5
2025-01-17 12:00:00+00:00,11.9,488.0,18
2025-01-17 13:00:00+00:00,12.0,345.0,4
2025-01-17 14:00:00+00:00,11.5,253.0,100
2025-01-17 15:00:00+00:00,10.4,101.0,99
2025-01-17 16:00:00+00:00,9.1,6.0,100
2025-01-17 17:00:00+00:00,8.5,0.0,99
2025-01-17 18:00:00+00:00,7.6,0.0,96
2025-01-17 19:00:00+00:00,6.5,0.0,100
2025-01-17 20:00:00+00:00,6.8,0.0,4
2025-01-17 21:00:00+00:00,5.9,0.0,1
2025-01-17 22:00:00+00:00,5.4,0.0,2
2025-01-17 23:00:00+00:00,4.9,0.0,6
2025-01-18 00:00:00+00:00,4.9,0.0,6
2025-01-18 01:00:00+00:00,6.3,0.0,3
2025-01-18 02:00:00+00:00,6.3,0.0,59
2025-01-18 03:00:00+00:00,5.9,0.0,63
2025-01-18 04:00:00+00:00,6.1,0.0,37
2025-01-18 05:00:00+00:00,5.5,0.0,5
2025-01-18 06:00:00+00:00,5.7,3.0,0
2025-01-18 07:00:00+00:00,7.4,97.0,0
2025-01-18 08:00:00+00:00,9.7,256.0,0
2025-01-18 09:00:00+00:00,11.7,395.0,0
2025-01-18 10:00:00+00:00,13.2,489.0,0
2025-01-18 11:00:00+00:00,14.2,524.0,0
2025-01-18 12:00:00+00:00,14.9,499.0,0
2025-01-18 13:00:00+00:00,14.8,415.0,0
2025-01-18 14:00:00+00:00,14.4,285.0,0
2025-01-18 15:00:00+00:00,12.9,127.0,0
2025-01-18 16:00:00+00:00,10.7,10.0,0
2025-01-18 17:00:00+00:00,9.6,0.0,0
2025-01-18 18:00:00+00:00,8.6,0.0,0
2025-01-18 19:00:00+00:00,8.1,0.0,0
2025-01-18 20:00:00+00:00,7.7,0.0,0
2025-01-18 21:00:00+00:00,7.2,0.0,0
2025-01-18 22:00:00+00:00,6.9,0.0,0
2025-01-18 23:00:00+00:00,6.7,0.0,0
2025-01-19 00:00:00+00:00,6.4,0.0,0
2025-01-19 01:00:00+00:00,6.9,0.0,0
2025-01-19 02:00:00+00:00,6.7,0.0,0
2025-01-19 03:00:00+00:00,6.4,0.0,0
2025-01-19 04:00:00+00:00,6.2,0.0,0
2025-01-19 05:00:00+00:00,5.9,0.0,0
2025-01-19 06:00:00+00:00,6.0,4.0,0
2025-01-19 07:00:00+00:00,7.9,100.0,0
2025-01-19 08:00:00+00:00,10.5,262.0,0
2025-01-19 09:00:00+00:00,12.5,402.0,0
2025-01-19 10:00:00+00:00,13.8,495.0,0
2025-01-19 11:00:00+00:00,14.7,531.0,0
2025-01-19 12:00:00+00:00,15.3,506.0,0
2025-01-19 13:00:00+00:00,15.6,423.0,0
2025-01-19 14:00:00+00:00,15.3,291.0,0
2025-01-19 15:00:00+00:00,14.0,131.0,0
2025-01-19 16:00:00+00:00,11.8,11.0,0
2025-01-19 17:00:00+00:00,10.5,0.0,0
2025-01-19 18:00:00+00:00,9.6,0.0,7
2025-01-19 19:00:00+00:00,9.0,0.0,87
2025-01-19 20:00:00+00:00,8.5,0.0,32
2025-01-19 21:00:00+00:00,8.2,0.0,64
2025-01-19 22:00:00+00:00,7.8,0.0,100
2025-01-19 23:00:00+00:00,7.4,0.0,100
2025-01-20 00:00:00+00:00,7.3,0.0,94
2025-01-20 01:00:00+00:00,7.9,0.0,92
2025-01-20 02:00:00+00:00,7.6,0.0,20
2025-01-20 03:00:00+00:00,7.3,0.0,71
2025-01-20 04:00:00+00:00,7.1,0.0,100
2025-01-20 05:00:00+00:00,7.2,0.0,100
2025-01-20 06:00:00+00:00,7.5,3.0,97
2025-01-20 07:00:00+00:00,9.1,87.0,96
2025-01-20 08:00:00+00:00,11.4,241.0,94
2025-01-20 09:00:00+00:00,13.4,386.0,13
2025-01-20 10:00:00+00:00,14.6,497.0,23
2025-01-20 11:00:00+00:00,15.5,533.0,100
2025-01-20 12:00:00+00:00,15.9,443.0,100
2025-01-20 13:00:00+00:00,15.9,356.0,100
2025-01-20 14:00:00+00:00,15.1,202.0,100
2025-01-20 15:00:00+00:00,13.7,78.0,100
2025-01-20 16:00:00+00:00,12.1,7.0,100
2025-01-20 17:00:00+00:00,10.7,0.0,100
2025-01-20 18:00:00+00:00,10.6,0.0,100
2025-01-20 19:00:00+00:00,10.4,0.0,100
2025-01-20 20:00:00+00:00,10.2,0.0,100
2025-01-20 21:00:00+00:00,10.1,0.0,100
2025-01-20 22:00:00+00:00,9.7,0.0,51
2025-01-20 23:00:00+00:00,9.0,0.0,94
2025-01-21 00:00:00+00:00,9.2,0.0,95
2025-01-21 01:00:00+00:00,10.1,0.0,83
